id,display_name,primary_location_display_name,cited_by_count,doi,crossref_call,publication_year,type,is_retracted,cited_by_percentile_year_min,primary_topic_display_name,primary_topic_domain_display_name,primary_topic_subfield_display_name,primary_location_source_host_organization_name,open_access_is_oa,language,primary_topic_field_display_name,update_nature
https://openalex.org/W1580837417,Notice of Retraction: The impact of project leader's “lobbying behavior” on scientific research project decisions,,0,https://doi.org/10.1109/aimsec.2011.6011224,https://api.labs.crossref.org/works/https://doi.org/10.1109/aimsec.2011.6011224?mailto=christian.hauschke@tib.eu,2011,article,True,0,Application of Real Options in Investment Strategies,Social Sciences,Finance,,False,en,"Economics, Econometrics and Finance",
https://openalex.org/W1580951275,Notice of Retraction: The research of commercial bank's carbon finance operation mode in China,,0,https://doi.org/10.1109/icebeg.2011.5881427,https://api.labs.crossref.org/works/https://doi.org/10.1109/icebeg.2011.5881427?mailto=christian.hauschke@tib.eu,2011,article,True,0,Industrial Symbiosis and Eco-Industrial Parks,Physical Sciences,Industrial and Manufacturing Engineering,,False,en,Engineering,
https://openalex.org/W1581037896,Notice of Retraction: Purification and Bioactivity of the Angiogenesis Inhibitor DCAIF-II from the Cartilage of Dasyatis akajei: Angiogenesis Inhibitor DCAIF-II from the Cartilage of Dasyatis akajei,,0,https://doi.org/10.1109/icbbe.2011.5780244,https://api.labs.crossref.org/works/https://doi.org/10.1109/icbbe.2011.5780244?mailto=christian.hauschke@tib.eu,2011,article,True,0,Molecular Mechanisms of Angiogenesis and Vascular Function,Life Sciences,Molecular Biology,,False,en,"Biochemistry, Genetics and Molecular Biology",
https://openalex.org/W1581171535,Notice of Retraction: Study on the design characteristics of time-keeping tools,,0,https://doi.org/10.1109/icpim.2011.5983724,https://api.labs.crossref.org/works/https://doi.org/10.1109/icpim.2011.5983724?mailto=christian.hauschke@tib.eu,2011,article,True,0,Color Psychology and Product Design,Social Sciences,Social Psychology,,False,en,Psychology,
https://openalex.org/W1581201590,Notice of Retraction: Investigation of Feasibility of Bamboo Charcoal as Solid-Phase Extraction Adsorbent for the Enrichment and Determination of Metal Ions in Water Samples,,0,https://doi.org/10.1109/icbbe.2011.5780739,https://api.labs.crossref.org/works/https://doi.org/10.1109/icbbe.2011.5780739?mailto=christian.hauschke@tib.eu,2011,article,True,0,Battery Recycling and Rare Earth Recovery,Physical Sciences,Mechanical Engineering,,False,en,Engineering,
https://openalex.org/W1581227054,Notice of Retraction: Comparison of Photocatalytic Degradation Reactive Bright Orange Solution with Phosphotungstic Acid and Titanium Dioxide,,0,https://doi.org/10.1109/icbbe.2011.5781098,https://api.labs.crossref.org/works/https://doi.org/10.1109/icbbe.2011.5781098?mailto=christian.hauschke@tib.eu,2011,article,True,0,Polyoxometalate Clusters and Materials,Physical Sciences,Materials Chemistry,,False,en,Materials Science,
https://openalex.org/W1581262355,Notice of Retraction: Classification management mode of construction costs considering uncertainty level,,0,https://doi.org/10.1109/icebeg.2011.5882557,https://api.labs.crossref.org/works/https://doi.org/10.1109/icebeg.2011.5882557?mailto=christian.hauschke@tib.eu,2011,article,True,0,Comprehensive Assessment of Safety in Energy and Infrastructure,Physical Sciences,"Safety, Risk, Reliability and Quality",,False,en,Engineering,
https://openalex.org/W1581429514,"Notice of Retraction: Application of Heuristic Teaching Theory on ""Circuit Theory"" Course",,0,https://doi.org/10.1109/paccs.2011.5990346,https://api.labs.crossref.org/works/https://doi.org/10.1109/paccs.2011.5990346?mailto=christian.hauschke@tib.eu,2011,article,True,0,Remote Laboratories in Engineering Education,Physical Sciences,Media Technology,,False,en,Engineering,
https://openalex.org/W1581473392,Notice of Retraction: Influence of micro-grooves arranged on working surface on tribological performance,,0,https://doi.org/10.1109/aimsec.2011.6010745,https://api.labs.crossref.org/works/https://doi.org/10.1109/aimsec.2011.6010745?mailto=christian.hauschke@tib.eu,2011,article,True,0,Surface Texturing for Tribology,Physical Sciences,Mechanical Engineering,,False,en,Engineering,
https://openalex.org/W1581579305,Notice of Retraction: Network word-of-mouth marketing strategy on basis of human-oriented societal communication theory,,0,https://doi.org/10.1109/icebeg.2011.5881811,https://api.labs.crossref.org/works/https://doi.org/10.1109/icebeg.2011.5881811?mailto=christian.hauschke@tib.eu,2011,article,True,0,Impact of Social Media on Consumer Behavior,Social Sciences,Sociology and Political Science,,False,en,Social Sciences,
https://openalex.org/W1581626204,Notice of Retraction: Comparative advantage analysis of China's vegetables export trade — Based on comparison of Japan and Korea,,0,https://doi.org/10.1109/icebeg.2011.5881295,https://api.labs.crossref.org/works/https://doi.org/10.1109/icebeg.2011.5881295?mailto=christian.hauschke@tib.eu,2011,article,True,0,Concept and Measurement of Regional Competitiveness,Social Sciences,Strategy and Management,,False,en,"Business, Management and Accounting",
https://openalex.org/W1581762711,Notice of Retraction: The research and practice on long-term guarantee system of teaching quality in local colleges,,0,https://doi.org/10.1109/aimsec.2011.6009751,https://api.labs.crossref.org/works/https://doi.org/10.1109/aimsec.2011.6009751?mailto=christian.hauschke@tib.eu,2011,article,True,0,Impact of Technology on Education and Training,Physical Sciences,Information Systems,,False,en,Computer Science,
https://openalex.org/W1581921695,Notice of Retraction: Water Environmental Impact of Cage Culturing in Qiandao Lake,,0,https://doi.org/10.1109/icbbe.2011.5780866,https://api.labs.crossref.org/works/https://doi.org/10.1109/icbbe.2011.5780866?mailto=christian.hauschke@tib.eu,2011,article,True,0,Impact of Aquaculture on Marine Ecosystems and Food Supply,Physical Sciences,Global and Planetary Change,,False,en,Environmental Science,
